Ref,Val,Package,PosX,PosY,Rot,Side
"G?","LOGO","LOGO_F",-7.000000,40.540000,180.000000,bottom
"G?","LOGO","LOGO",7.000000,40.540000,180.000000,top
"P1","284617-1","284617-1",-2.500000,31.040000,0.000000,top
"P2","CONN_1","PIN_ARRAY_1",60.890000,45.790000,0.000000,top
"P3","CONN_1","PIN_ARRAY_1",60.890000,41.790000,0.000000,top
"P4","CONN_1","PIN_ARRAY_1",60.890000,37.790000,0.000000,top
"P5","CONN_1","PIN_ARRAY_1",60.890000,33.790000,0.000000,top
"P6","CONN_5","PIN_ARRAY_5x1",24.060000,45.790000,0.000000,top
"P7","CONN_9","PIN_ARRAY_9x1",46.120000,45.790000,0.000000,top
"P8","CONN_5","PIN_ARRAY_5x1",24.060000,41.790000,0.000000,top
"P9","CONN_9","PIN_ARRAY_9x1",46.120000,41.790000,0.000000,top
"P10","CONN_5","PIN_ARRAY_5x1",24.060000,37.790000,0.000000,top
"P11","CONN_9","PIN_ARRAY_9x1",46.120000,37.790000,0.000000,top
"P12","CONN_5","PIN_ARRAY_5x1",24.060000,33.790000,0.000000,top
"P13","CONN_9","PIN_ARRAY_9x1",46.120000,33.790000,0.000000,top
"P14","CONN_22","PIN_ARRAY_22x1",112.360000,45.790000,0.000000,top
"P15","CONN_22","PIN_ARRAY_22x1",113.390000,41.790000,0.000000,top
"P16","CONN_22","PIN_ARRAY_22x1",113.390000,37.790000,0.000000,top
"P17","CONN_22","PIN_ARRAY_22x1",113.360000,33.790000,0.000000,top
"P18","CONN_1","1pin(m)",69.780000,47.730000,0.000000,top
"P19","CONN_1","1pin(m)",77.400000,47.730000,0.000000,top
"P20","CONN_1","1pin(m)",69.780000,41.380000,0.000000,top
"P21","CONN_1","1pin(m)",77.400000,41.380000,0.000000,top
"P22","CONN_1","1pin(m)",69.780000,35.030000,0.000000,top
"P23","CONN_1","1pin(m)",77.400000,35.030000,0.000000,top
"P24","CONN_1","1pin",147.000000,48.790000,0.000000,top
"P25","CONN_1","1pin",3.000000,48.790000,0.000000,top
