Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
P1,Pad,PAD-TH,2.000000,46.500000,0.000000,top
P2,Pad,PAD-TH,2.000000,34.500000,0.000000,top
P3,Pad,PAD-TH,2.000000,22.500000,0.000000,top
P4,Pad,PAD-TH,2.000000,10.500000,0.000000,top
P5,Pad,PAD-TH,29.000000,46.500000,0.000000,top
P6,Pad,PAD-TH,29.000000,34.500000,0.000000,top
P7,Pad,PAD-TH,29.000000,22.500000,0.000000,top
P8,Pad,PAD-TH,29.000000,10.500000,0.000000,top
P9,Pad,PAD-TH,11.500000,2.500000,0.000000,top
Q1,ISL9V3040D3S,TO-263-2,17.500000,46.500000,0.000000,top
Q2,ISL9V3040D3S,TO-263-2,17.500000,34.500000,0.000000,top
Q3,ISL9V3040D3S,TO-263-2,17.500000,22.500000,0.000000,top
Q4,ISL9V3040D3S,TO-263-2,17.500000,10.500000,0.000000,top
R1,1k,R0805,6.500000,46.500000,180.000000,top
R2,100k,R0805,6.500000,49.000000,0.000000,top
R3,1k,R0805,6.500000,34.500000,180.000000,top
R4,100k,R0805,6.500000,37.000000,0.000000,top
R5,1k,R0805,6.500000,22.500000,180.000000,top
R6,100k,R0805,6.500000,25.000000,0.000000,top
R7,1k,R0805,6.500000,10.500000,180.000000,top
R8,100k,R0805,6.500000,13.000000,0.000000,top
