Designator,Mid X,Mid Y,Layer,Rotation
J2,87.630000,-48.260000,bottom,0.0
J3,102.870000,-48.260000,bottom,0.0
J4,83.820000,-82.804000,bottom,270.0
J5,85.979000,-66.642000,bottom,90.0
C1,109.855000,-53.975000,top,0.0
C2,104.775000,-53.975000,top,0.0
C3,99.695000,-53.975000,top,0.0
C4,94.615000,-53.975000,top,0.0
C5,84.074000,-71.501000,top,0.0
C6,107.061000,-66.802000,top,0.0
C7,87.122000,-71.501000,top,180.0
C8,107.061000,-69.088000,top,0.0
J1,83.820000,-74.168000,top,90.0
R1,90.170000,-71.501000,top,0.0
TP1,92.710000,-59.662000,top,0.0
TP2,97.790000,-59.690000,top,0.0
TP3,102.870000,-59.690000,top,0.0
TP4,107.950000,-59.690000,top,0.0
TP5,113.030000,-59.690000,top,0.0
U1,100.330000,-67.945000,top,270.0
